codigoplanta,codigoduracion,codigosicagente,codigovariable,fechahora,unidadmedida,valor,version,source_file,dataset_slug,period_start,period_end,processed_at,year,month,codigounidadgeneracion,estadorecurso,fpo,fecha,fechapublicacion,nombreunidad,tipogeneracion,source_file_ref,dataset_slug_ref,period_start_ref,period_end_ref,processed_at_ref,year_ref,month_ref
2SXQ,PT1H,CHVG,GReal,2025-04-05 12:00:00,kWh,14191.79,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unt07862,Operacion,2017-04-22,2025-05-06 00:00:00,2026-04-09,BIOENERGY,Termica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
TSJ1,PT1H,TRMG,GReal,2025-04-05 19:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unt03238,Operacion,1985-02-20,2025-05-06 00:00:00,2026-04-09,TASAJERO 1,Termica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
RCIO,PT1H,HDTG,GReal,2025-04-05 16:00:00,kWh,452.73,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09912,Operacion,2001-09-01,2025-05-06 00:00:00,2026-04-09,RIO RECIO 1,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
3MHB,PT1H,UNGG,GReal,2025-04-05 23:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Uns21628,Operacion,2024-08-13,2025-05-06 00:00:00,2026-04-09,MINIGRANJA LA PAZ VALLENATA 1,Solar,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
SNC1,PT1H,EPMG,GReal,2025-04-05 05:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09918,Operacion,1929-01-01,2025-05-06 00:00:00,2026-04-09,SAN CANCIO 1,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
2V27,PT1H,DEPG,GReal,2025-04-05 00:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unt09078,Operacion,2018-07-25,2025-05-06 00:00:00,2026-04-09,AUTOG COCA-COLA FEMSA 1,Termica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
3PXE,PT1H,ISGG,GReal,2025-04-05 01:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Uns18120,Pruebas,2023-07-31,2025-05-06 00:00:00,2026-04-09,BSB 500 1,Solar,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
BLL3,PT1H,EPMG,GReal,2025-04-05 20:00:00,kWh,191.4,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09861,Operacion,1934-01-01,2025-05-06 00:00:00,2026-04-09,BELLO 1,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
GYPO,PT1H,ENDG,GReal,2025-04-05 23:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Uns10865,Operacion,2024-11-30,2025-05-06 00:00:00,2026-04-09,GUAYEPO 1,Solar,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
HMLG,PT1H,ISGG,GReal,2025-04-05 17:00:00,kWh,263862.63,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09809,Operacion,2002-12-01,2025-05-06 00:00:00,2026-04-09,MIEL I 2,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
LTSJ,PT1H,EPMG,GReal,2025-04-05 19:00:00,kWh,114895.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09771,Operacion,1986-12-01,2025-05-06 00:00:00,2026-04-09,LA TASAJERA 1,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
GCC1,PT1H,EPMG,GReal,2025-04-05 04:00:00,kWh,940.78,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09876,Operacion,1992-01-01,2025-05-06 00:00:00,2026-04-09,GUACAICA 1,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
3PK3,PT1H,ENDG,GReal,2025-04-05 06:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Uns22044,Operacion,2024-09-29,2025-05-06 00:00:00,2026-04-09,AUTOG MILPA SAN CARLOS 1,Solar,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
HMO1,PT1H,EPSG,GReal,2025-04-05 13:00:00,kWh,19203.19,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09842,Operacion,2015-01-17,2025-05-06 00:00:00,2026-04-09,HIDROMONTAÑITAS 2,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
3PK3,PT1H,ENDG,GReal,2025-04-05 19:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Uns22044,Operacion,2024-09-29,2025-05-06 00:00:00,2026-04-09,AUTOG MILPA SAN CARLOS 1,Solar,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
3EXH,PT1H,ISGG,GReal,2025-04-05 10:00:00,kWh,11799.75,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Une10596,Pruebas,2022-08-31,2025-05-06 00:00:00,2026-04-09,PARQUE EOLICO WESP01 1,Eolica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
HMO1,PT1H,EPSG,GReal,2025-04-05 04:00:00,kWh,7237.6,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09842,Operacion,2015-01-17,2025-05-06 00:00:00,2026-04-09,HIDROMONTAÑITAS 2,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
RMYO,PT1H,CDNG,GReal,2025-04-05 18:00:00,kWh,19625.67,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09719,Operacion,1995-07-20,2025-05-06 00:00:00,2026-04-09,RIOMAYO 1,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
ZPA3,PT1H,ENDG,GReal,2025-04-05 20:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unt03272,Operacion,1976-01-01,2025-05-06 00:00:00,2026-04-09,ZIPAEMG 3,Termica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
CTG2,PT1H,NTCG,GReal,2025-04-05 21:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unt03220,Operacion,1980-01-01,2025-05-06 00:00:00,2026-04-09,CARTAGENA 2,Termica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
3AQP,PT1H,SFEG,GReal,2025-04-05 08:00:00,kWh,958.32,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09968,Operacion,2022-04-25,2025-05-06 00:00:00,2026-04-09,CAUYA 1,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
3JPK,PT1H,NTCG,GReal,2025-04-05 08:00:00,kWh,650.27,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Uns20398,Operacion,2024-02-27,2025-05-06 00:00:00,2026-04-09,MINIGRANJA SAN PEDRO 1,Solar,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
2T4P,PT1H,ISGG,GReal,2025-04-05 14:00:00,kWh,9760.06,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09934,Operacion,1935-01-01,2025-05-06 00:00:00,2026-04-09,SAN MATIAS 1,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
3NLE,PT1H,UNGG,GReal,2025-04-05 15:00:00,kWh,700.7,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Uns22085,Operacion,2024-08-27,2025-05-06 00:00:00,2026-04-09,GD NAOS I 1,Solar,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
JAGS,PT1H,ISGG,GReal,2025-04-05 21:00:00,kWh,171181.54,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09766,Operacion,1988-07-01,2025-05-06 00:00:00,2026-04-09,JAGUAS 1,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
3FCF,PT1H,EPSG,GReal,2025-04-05 23:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Uns10951,Pruebas,2023-01-30,2025-05-06 00:00:00,2026-04-09,GRANJA SOLAR LANCEROS 1,Solar,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
2SW1,PT1H,PRIG,GReal,2025-04-05 07:00:00,kWh,13815.3,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09956,Operacion,2017-03-02,2025-05-06 00:00:00,2026-04-09,EL EDEN 2,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
2V5G,PT1H,GPEG,GReal,2025-04-05 15:00:00,kWh,2382.1,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09949,Operacion,2018-04-03,2025-05-06 00:00:00,2026-04-09,JUAN GARCIA 2,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
3HLD,PT1H,PSGG,GReal,2025-04-05 07:00:00,kWh,2662.8,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Uns15929,Pruebas,2023-08-05,2025-05-06 00:00:00,2026-04-09,LOS GIRASOLES 1,Solar,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
CUC1,PT1H,EPSG,GReal,2025-04-05 12:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09826,Operacion,2015-11-10,2025-05-06 00:00:00,2026-04-09,CUCUANA 2,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
2S8I,PT1H,GECG,GReal,2025-04-05 06:00:00,kWh,11280.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unt09077,Operacion,2016-04-26,2025-05-06 00:00:00,2026-04-09,AUTOG REFICAR 1,Termica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
4UZU,PT1H,ERRG,GReal,2025-04-05 12:00:00,kWh,720.87,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Uns50033,Operacion,2025-03-30,2025-05-06 00:00:00,2026-04-09,GD ERCO GUAMO II 1,Solar,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
2S8U,PT1H,EPMG,GReal,2025-04-05 07:00:00,kWh,1686.96,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09906,Operacion,1999-11-25,2025-05-06 00:00:00,2026-04-09,PORCE III MENOR 1,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
3HLD,PT1H,PSGG,GReal,2025-04-05 04:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Uns15929,Pruebas,2023-08-05,2025-05-06 00:00:00,2026-04-09,LOS GIRASOLES 1,Solar,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
3EV3,PT1H,EPSG,GReal,2025-04-05 04:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Uns10520,Pruebas,2022-09-15,2025-05-06 00:00:00,2026-04-09,LA MEDINA 1,Solar,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
3HE8,PT1H,EPSG,GReal,2025-04-05 02:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Uns15919,Operacion,2023-04-30,2025-05-06 00:00:00,2026-04-09,AUTOG CELSIA SOLAR PALMIRA 3 ZONA FRANCA 1,Solar,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
